Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
Gabrb3	5	0.625	0.5	2	0	1	4	3	0.34548625	0.625	0.625	0.853988283010365	0.0238141376345922	0	FALSE	4468	106	294
Fxyd6	4	0.5	0.4	2	1	0	3	4	0.3084075	0.625	0.625	0.935306193981273	0.254142664672912	1	FALSE	590	816	295
Ifi27	5	0.5	0.5	0	1	0	4	5	0.338213	0.6	0.6	0.928721646387262	0.0238141376345922	0	FALSE	4468	108	296
Adra1b	3	0.375	0.3	2	1	0	4	3	0.592125	0.625	-0.625	0.674202593760953	0.314193704978362	1	FALSE	245	1975	297
Tpbgl	4	0.4	0.4	0	0	1	7	2	0.8064	0.8	0.8	0.725301687446798	0.18596359729895	0	FALSE	1655	293	298
Dtx4	5	0.5	0.5	0	1	0	4	5	0.3371599	0.6	0.6	0.696534975714786	0.0238141376345922	0	FALSE	4468	109	299
Snph	4	0.5	0.4	2	1	0	5	2	0.5089625	0.75	-0.75	0.686620599869811	0.212085284655293	0	FALSE	1096	445	300
Flnc	3	0.3	0.3	0	1	0	2	7	0.33663	0.8	0.8	0.884983225677232	0.336612782270506	1	FALSE	170	2870	301
Sirt3	5	0.5	0.5	0	0	1	6	3	0.331474	0.7	0.7	0.4645986680687	0.0238141376345922	0	FALSE	4468	110	302
St8sia1	5	0.5	0.5	0	1	0	4	5	0.3026956	0.6	0.6	0.872640328476291	0.122934244499928	0	FALSE	3769	131	303
Tm4sf1	1	0.1	0.1	0	0	1	4	5	0.728723	0.6	-0.6	0.93941214761404	0.404760256343525	1	FALSE	51	9762	304
Marcks	3	0.3	0.3	0	1	0	7	2	0.23138	0.8	-0.8	0.894797456311652	0.353450444449591	1	FALSE	129	3874	305
Kcnk4	4	0.4	0.4	0	0	1	6	3	0.855809	0.7	0.7	0.497972059486255	0.18036219685485	0	FALSE	1805	277	306
Zfp189	5	0.5	0.5	0	0	1	1	8	0.329854	0.9	-0.9	0.254293725902559	0.0238141376345922	0	FALSE	4468	112	307
Tmem63a	3	0.3	0.3	0	0	1	6	3	0.362353	0.7	0.7	0.668043663311802	0.331175908486658	1	FALSE	186	2698	308
Ccdc103	4	0.5	0.4	2	0	1	3	4	0.3905	0.625	-0.625	0.289069150267888	0.232896357190537	1	FALSE	800	628	309
Psmd9	4	0.4	0.4	0	0	1	4	5	0.1965917	0.6	-0.6	0.146662660858244	0.284136751800588	1	FALSE	382	1316	310
Tsc22d3	5	0.5	0.5	0	1	0	3	6	0.3273199	0.7	0.7	0.935957137849882	0.0238141376345922	0	FALSE	4468	113	311
P2rx4	5	0.5	0.5	0	1	0	4	5	0.287476	0.6	0.6	0.648790746582545	0.12563323620471	0	FALSE	3638	139	312
Adam10	5	0.5	0.5	0	1	0	5	4	0.319821	0.6	-0.6	0.588453257222973	0.0238141376345922	0	FALSE	4468	114	313
Otud7b	3	0.3	0.3	0	1	0	3	6	0.2004937	0.7	0.7	0.452906714736368	0.358072807458651	1	FALSE	119	4281	314
Dtymk	5	0.5	0.5	0	0	1	6	3	0.317899	0.7	0.7	0.4398377647589	0.0238141376345922	0	FALSE	4468	115	315
D030056L22Rik	5	0.5	0.5	0	0	1	3	6	0.316072	0.7	-0.7	0.200841219768665	0.0238141376345922	0	FALSE	4468	116	316
Nsmf	5	0.5	0.5	0	1	0	7	2	0.22771	0.8	-0.8	0.588252966801863	0.143668407354811	0	FALSE	2952	176	317
Eid1	5	0.5	0.5	0	1	0	3	6	0.316041	0.7	0.7	0.567047218466777	0.0238141376345922	0	FALSE	4468	117	318
Lrrn1	4	0.5	0.4	2	1	0	2	5	0.52658375	0.75	0.75	0.93195132942767	0.203991268570023	0	FALSE	1243	423	319
Acrbp	4	0.4	0.4	0	0	1	5	4	0.451853	0.6	0.6	0.578213409443693	0.217329215316574	1	FALSE	1009	524	320
Amotl2	4	0.4	0.4	0	1	0	1	8	0.488317	0.9	0.9	0.629838265484953	0.209809135222318	0	FALSE	1135	466	321
Pcmt1	5	0.5	0.5	0	1	0	2	7	0.1725178	0.8	0.8	0.104000801161684	0.158445700488741	0	FALSE	2446	218	322
Amz1	4	0.4	0.4	0	0	1	5	4	0.403716	0.6	0.6	0.602974312753493	0.225424714986978	1	FALSE	892	599	323
Repin1	2	0.2	0.2	0	1	0	4	5	0.201168	0.6	0.6	0.385759351059036	0.389793643421679	1	FALSE	68	7865	324
Smad3	5	0.5	0.5	0	1	0	2	7	0.2775284	0.8	0.8	0.57167893445496	0.125518385350054	0	FALSE	3643	147	325
Rb1	5	0.5	0.5	0	1	0	5	4	0.312882	0.6	-0.6	0.648214911621852	0.0238141376345922	0	FALSE	4468	120	326
Ghrh	2	0.286	0.2	3	1	0	1	5	0.811515714285714	0.857142857142857	0.857142857142857	0.476991637874919	0.369764567951653	1	FALSE	98	5520	327
Tcf12	5	0.5	0.5	0	1	0	3	6	0.310692	0.7	0.7	0.50660958389665	0.0238141376345922	0	FALSE	4468	122	328
Itpr2	4	0.4	0.4	0	1	0	7	2	0.420146	0.8	-0.8	0.738570927845376	0.220512158585292	1	FALSE	963	569	329
Pdlim3	4	0.5	0.4	2	1	0	3	4	0.72490375	0.625	0.625	0.966776826398278	0.18172723418787	0	FALSE	1767	311	330
Mmd	5	0.5	0.5	0	1	0	5	4	0.30966	0.6	-0.6	0.724300235341245	0.0238141376345922	0	FALSE	4468	123	331
Ubc	3	0.3	0.3	0	1	0	2	7	0.30770133	0.8	0.8	0.478443743427971	0.333135059989636	1	FALSE	180	3077	332
Cops2	5	0.5	0.5	0	0	1	5	4	0.3086275	0.6	0.6	0.413299283961745	0.0238141376345922	0	FALSE	4468	124	333
Hapln1	4	0.5	0.4	2	1	0	5	2	1.245525	0.75	-0.75	0.931024986230034	0.162322297665884	0	FALSE	2320	239	334
Trhr	2	0.25	0.2	2	1	0	3	4	0.47847675	0.625	0.625	0.921386009714085	0.37304271564034	1	FALSE	92	6044	335
Snx8	5	0.5	0.5	0	1	0	4	5	0.30783	0.6	0.6	0.451730008512343	0.0238141376345922	0	FALSE	4468	125	336
Pacsin3	5	0.5	0.5	0	1	0	5	4	0.307653	0.6	-0.6	0.531370487206449	0.0238141376345922	0	FALSE	4468	126	337
Polr3h	3	0.333	0.3	1	0	0	7	2	0.203160573333333	0.777777777777778	0.777777777777778	0.325371789094187	0.351563020479818	1	FALSE	133	4250	338
Rsrp1	5	0.5	0.5	0	1	0	7	2	0.307279	0.8	-0.8	0.675204045866506	0.0238141376345922	0	FALSE	4468	127	339
Cdk7	5	0.5	0.5	0	0	1	4	5	0.306667	0.6	-0.6	0.363577186921036	0.0238141376345922	0	FALSE	4468	128	340
