Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
ITPR3_Itpr3	5	0.5	0.5	0	3	2	3	2	0.643607	0.6	-0.6	5	0	0.0862259462400888	0.25	FALSE	5504	1740	2527
ZMAT4_Zmat4	4	0.444	0.4	1	1	3	2	3	0.935168888888889	0.666666666666667	-0.666666666666667	3	1	0.107806443683369	0.4375	FALSE	3005	3188	2528
RNF13_Rnf13	6	0.667	0.6	1	3	1	2	3	0.436813333333333	0.666666666666667	0.666666666666667	5	1	0.0443408814333259	0.4375	FALSE	11685	820	2529
DLL4_Dll4	4	0.4	0.4	0	1	4	2	3	0.969788	0.7	-0.7	3	1	0.107464723530465	0.625	FALSE	3037	3156	2530
IGDCC3_Igdcc3	5	0.5	0.5	0	2	3	2	3	1.291718	0.6	-0.6	4	1	0.0683127829627734	0.4375	FALSE	8165	1174	2531
HPCAL1_Hpcal1	5	0.5	0.5	0	2	3	0	5	0.375525	0.8	-0.8	4	1	0.0948474520165233	0.625	FALSE	4335	2215	2532
NRCAM_Nrcam	5	0.556	0.5	1	0	4	2	3	1.101271	0.777777777777778	-0.777777777777778	5	0	0.0718861992161575	0.5	FALSE	7616	1261	2533
TMEM63C_Tmem63c	5	0.5	0.5	0	1	4	2	3	0.807198	0.7	-0.7	3	2	0.0798609032869346	0.4375	FALSE	6422	1496	2534
FANCD2_Fancd2	5	0.5	0.5	0	3	2	1	4	0.744939	0.7	0.7	4	1	0.0820225501200802	0.625	FALSE	6104	1574	2535
YEATS4_Yeats4	5	0.5	0.5	0	1	4	3	2	0.1437543	0.7	0.7	4	1	0.104111184846544	0.625	FALSE	3377	2846	2536
PRPF4B_Prpf4b	2	0.2	0.2	0	3	2	3	2	0.152038	0.6	-0.6	2	0	0.148330337090981	0.5625	FALSE	789	12184	2537
CHERP_Cherp	4	0.4	0.4	0	3	2	3	2	0.1269508	0.6	-0.6	3	1	0.12553418961143	0.625	FALSE	1717	5602	2538
RIIAD1_Riiad1	4	0.4	0.4	0	2	3	3	2	0.596467	0.6	0.6	2	2	0.113153519795638	0.8125	FALSE	2543	3788	2539
HIP1R_Hip1r	5	0.5	0.5	0	1	4	2	3	0.634824	0.7	-0.7	3	2	0.0863840746521166	0.375	FALSE	5485	1757	2540
KIF5A_Kif5a	5	0.5	0.5	0	0	5	2	3	0.999617	0.8	-0.8	3	2	0.0742633646324686	0.625	FALSE	7280	1324	2541
DPP10_Dpp10	6	0.6	0.6	0	1	4	4	1	0.703794	0.8	0.8	4	2	0.0162050118902478	0.125	FALSE	15685	615	2542
UHMK1_Uhmk1	6	0.667	0.6	1	2	2	1	4	0.328224444444444	0.666666666666667	-0.666666666666667	6	0	0.0540420940226261	0.375	FALSE	10267	940	2543
ATL2_Atl2	3	0.333	0.3	1	2	2	2	3	0.262848888888889	0.555555555555556	-0.555555555555556	3	0	0.136626527454386	0.5625	FALSE	1199	8050	2544
MIS12_Mis12	3	0.333	0.3	1	1	3	2	3	0.274445555555556	0.666666666666667	-0.666666666666667	2	1	0.136270146889196	0.6875	FALSE	1214	7959	2545
TMEM177_Tmem177	2	0.2	0.2	0	2	3	2	3	0.232544	0.6	-0.6	2	0	0.146305943192764	0.6875	FALSE	841	11489	2546
RNF8_Rnf8	3	0.5	0.3	4	0	4	2	0	0.367671666666667	1	1	2	1	0.134186345681193	0.6875	FALSE	1301	7432	2547
SGTB_Sgtb	5	0.5	0.5	0	1	4	3	2	0.557335	0.7	0.7	4	1	0.088673524814702	0.5625	FALSE	5141	1881	2548
TMEM145_Tmem145	4	0.571	0.4	3	1	4	2	0	1.14505857142857	0.857142857142857	0.857142857142857	2	2	0.105524768495467	0.75	FALSE	3226	2998	2549
ANKMY2_Ankmy2	2	0.2	0.2	0	2	3	1	4	0.246172	0.7	-0.7	2	0	0.146100546989659	0.625	FALSE	849	11394	2550
CLDN7_Cldn7	5	0.625	0.5	2	2	1	2	3	1.2025675	0.625	0.625	4	1	0.0690471226751494	0.625	FALSE	8059	1201	2551
SMAD5_Smad5	4	0.4	0.4	0	3	2	2	3	0.319332	0.6	0.6	3	1	0.11984507738172	0.5625	FALSE	2078	4660	2552
NR4A1_Nr4a1	2	0.222	0.2	1	3	1	3	2	0.489705555555556	0.666666666666667	-0.666666666666667	1	1	0.144371478636606	0.6875	FALSE	926	10461	2553
TRIM13_Trim13	3	0.333	0.3	1	1	3	1	4	0.255006888888889	0.777777777777778	-0.777777777777778	2	1	0.136698906474404	0.5625	FALSE	1194	8113	2554
