Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
MPPED2_Mpped2	3	0.167	0.13	5	1	1	3	8	0.617556666666667	0.692307692307692	-0.692307692307692	3	0	0.098372599964233	0	FALSE	2764	4273	3071
RMND5A_Rmnd5a	3	0.136	0.13	1	1	2	8	5	0.218939227272727	0.625	0.625	2	1	0.111159585954708	0.545454545454545	FALSE	1806	6540	3072
PPP1R26_Ppp1r26	2	0.095	0.087	2	1	1	4	9	0.275659047619048	0.666666666666667	-0.666666666666667	1	1	0.123105840372993	0.181818181818182	FALSE	1198	9860	3073
RILP_Rilp	3	0.158	0.13	4	1	1	7	4	0.548518947368421	0.615384615384615	0.615384615384615	0	3	0.100220055123139	0.272727272727273	FALSE	2631	4491	3074
CFL1_Cfl1	2	0.118	0.087	6	0	2	6	3	0.198166470588235	0.727272727272727	0.727272727272727	1	1	0.124789026665525	0.181818181818182	FALSE	1121	10550	3075
ZNF648_Zfp648	1	0.1	0.043	13	1	0	3	4	0.3056371	0.625	0.625	0	1	0.13115280156282	0.0909090909090909	FALSE	876	13505	3076
KRT10_Krt10	4	0.182	0.174	1	1	2	8	5	0.3529385	0.625	0.625	3	1	0.0833633610939632	0.181818181818182	TRUE	4390	2696	3077
HS3ST5_Hs3st5	4	0.25	0.174	7	1	1	4	5	0.8926725	0.545454545454545	-0.545454545454545	3	1	0.0650213133605716	0.0909090909090909	FALSE	7496	1579	3078
NACC2_Nacc2	4	0.182	0.174	1	3	0	6	7	0.555160454545454	0.625	0.625	3	1	0.074573592003501	0.0909090909090909	FALSE	5727	2067	3079
RBPJ_Rbpj	5	0.217	0.217	0	3	0	6	8	0.253740869565217	0.647058823529412	0.647058823529412	4	1	0.0579720420877102	0.181818181818182	FALSE	8897	1331	3080
HPCAL1_Hpcal1	5	0.227	0.217	1	1	2	5	8	0.305685909090909	0.625	-0.625	4	1	0.0541868616350102	0	FALSE	9695	1222	3081
KPNB1_Kpnb1	5	0.227	0.217	1	1	2	9	4	0.176335409090909	0.6875	0.6875	4	1	0.0609469016664319	0.181818181818182	FALSE	8275	1434	3082
GGT6_Ggt6	1	0.091	0.043	12	0	0	5	1	0.4502	0.833333333333333	0.833333333333333	0	1	0.129840103559371	0.0909090909090909	FALSE	938	12659	3083
NUDT13_Nudt13	3	0.136	0.13	1	2	1	6	7	0.453022272727273	0.5625	0.5625	2	1	0.102616487819081	0.272727272727273	FALSE	2424	4904	3084
PLK1_Plk1	4	0.174	0.174	0	1	2	9	5	0.345974782608696	0.647058823529412	0.647058823529412	4	0	0.0835072268966405	0.181818181818182	FALSE	4369	2721	3085
RAB30_Rab30	2	0.091	0.087	1	1	2	6	7	0.462591363636364	0.5625	-0.5625	1	1	0.119102627950704	0.363636363636364	FALSE	1385	8584	3086
SORL1_Sorl1	4	0.182	0.174	1	3	0	8	5	0.866713636363636	0.6875	-0.6875	3	1	0.0651462656888097	0	FALSE	7472	1592	3087
ACP2_Acp2	3	0.13	0.13	0	1	2	4	10	0.432540434782609	0.705882352941177	-0.705882352941177	2	1	0.103050411627516	0.272727272727273	FALSE	2384	4990	3088
LDHAL6B_Ldhal6b	0	0	0	7	1	1	6	2	0.4804138125	0.7	0.7	0	0	0.133392405170751	0.454545454545455	FALSE	786	15139	3089
PEX1_Pex1	4	0.2	0.174	3	2	0	6	6	0.22768365	0.571428571428571	0.571428571428571	1	3	0.0899909870136662	0.0909090909090909	FALSE	3577	3328	3090
NCOA7_Ncoa7	4	0.211	0.174	4	3	0	6	4	0.296041315789474	0.692307692307692	-0.692307692307692	3	1	0.0863311109447756	0.363636363636364	FALSE	3993	2983	3091
CYB5B_Cyb5b	5	0.217	0.217	0	0	3	11	3	0.386201652173913	0.823529411764706	0.823529411764706	3	2	0.0476920690061044	0.0909090909090909	FALSE	11175	1067	3092
ARFRP1_Arfrp1	4	0.182	0.174	1	0	3	6	7	0.241805454545455	0.625	-0.625	3	1	0.089204487804457	0.363636363636364	FALSE	3665	3256	3093
IL15RA_Il15ra	3	0.143	0.13	2	1	2	2	10	1.16821819047619	0.8	-0.8	1	2	0.092871234669438	0.363636363636364	FALSE	3283	3635	3094
TMCC2_Tmcc2	3	0.13	0.13	0	1	2	9	5	0.475692173913043	0.647058823529412	0.647058823529412	0	3	0.101933285858106	0.272727272727273	FALSE	2487	4799	3095
AKT3_Akt3	5	0.217	0.217	0	2	1	9	5	0.340127391304348	0.647058823529412	-0.647058823529412	4	1	0.0513204651247679	0	FALSE	10354	1153	3096
ZMYND10_Zmynd10	4	0.182	0.174	1	0	3	4	9	1.14173542727273	0.75	-0.75	3	1	0.0618726031220711	0.181818181818182	FALSE	8080	1479	3097
DAAM2_Daam2	3	0.15	0.13	3	1	2	8	3	0.371819	0.714285714285714	0.714285714285714	2	1	0.104560654318132	0.272727272727273	FALSE	2256	5304	3098
IRF9_Irf9	4	0.174	0.174	0	1	2	8	6	0.453759565217391	0.588235294117647	0.588235294117647	2	2	0.0782742665498685	0.181818181818182	FALSE	5126	2335	3099
IKBKE_Ikbke	4	0.174	0.174	0	2	1	4	10	0.446656939130435	0.705882352941177	0.705882352941177	1	3	0.0785402442552193	0.0909090909090909	FALSE	5095	2350	3100
RCAN2_Rcan2	5	0.263	0.217	4	1	1	6	6	0.638194473684211	0.5	-0.5	3	2	0.0210607474542676	0	FALSE	16246	737	3101
MAMLD1_Mamld1	4	0.235	0.174	6	0	2	6	6	1.41716823529412	0.571428571428571	-0.571428571428571	1	3	0.0609864176553896	0.0909090909090909	FALSE	8263	1450	3102
EPHA2_Epha2	4	0.19	0.174	2	0	3	7	5	0.474122476190476	0.666666666666667	0.666666666666667	3	1	0.0771212047119763	0.363636363636364	FALSE	5299	2266	3103
TMEM126A_Tmem126a	1	0.045	0.043	1	1	2	5	8	0.211813636363636	0.625	-0.625	1	0	0.131597847391182	0.454545454545455	FALSE	855	14047	3104
CA2_Car2	5	0.227	0.217	1	2	1	7	6	0.534591727272727	0.5625	-0.5625	2	3	0.0333448428271914	0.0909090909090909	FALSE	14269	842	3105
SRCIN1_Srcin1	4	0.174	0.174	0	0	3	6	8	0.56723652173913	0.647058823529412	-0.647058823529412	1	3	0.0735362493788398	0.0909090909090909	FALSE	5887	2042	3106
ENTR1_Entr1	3	0.136	0.13	1	2	1	9	4	0.309650909090909	0.6875	-0.6875	2	1	0.106954107561813	0	FALSE	2088	5758	3107
RAB27A_Rab27a	3	0.136	0.13	1	0	3	7	6	0.813461818181818	0.625	0.625	2	1	0.0943272841643534	0.363636363636364	FALSE	3116	3863	3108
RPGRIP1L_Rpgrip1l	2	0.118	0.087	6	1	2	6	5	0.499322352941176	0.571428571428571	0.571428571428571	1	1	0.11798808532619	0.272727272727273	FALSE	1442	8369	3109
ZBTB18_Zbtb18	4	0.182	0.174	1	2	1	10	3	0.625469545454545	0.75	-0.75	3	1	0.0714019861213133	0.181818181818182	FALSE	6280	1922	3110
ZDHHC13_Zdhhc13	3	0.143	0.13	2	1	2	6	6	0.370935238095238	0.533333333333333	-0.533333333333333	2	1	0.104379210771497	0.272727272727273	FALSE	2275	5307	3111
RBMS1_Rbms1	5	0.227	0.217	1	2	1	3	10	0.441501818181818	0.75	0.75	4	1	0.0417576053587012	0	FALSE	12513	965	3112
DPY19L1_Dpy19l1	5	0.238	0.217	2	1	2	9	3	0.419504238095238	0.733333333333333	0.733333333333333	3	2	0.043399567660888	0.0909090909090909	FALSE	12105	998	3113
ADAMTSL5_Adamtsl5	0	0	0	4	1	1	8	4	0.710277368421053	0.642857142857143	0.642857142857143	0	0	0.132424958259906	0.363636363636364	FALSE	827	14640	3114
P3H3_P3h3	4	0.174	0.174	0	3	0	7	7	0.71054347826087	0.588235294117647	0.588235294117647	2	2	0.0683016460392465	0.272727272727273	FALSE	6849	1770	3115
EVA1C_Eva1c	4	0.2	0.174	3	1	0	8	5	0.6503806	0.642857142857143	-0.642857142857143	3	1	0.07051258778733	0.272727272727273	FALSE	6438	1884	3116
CCNO_Ccno	3	0.15	0.13	3	2	1	6	5	0.75977795	0.571428571428571	-0.571428571428571	2	1	0.0947327351510894	0.181818181818182	FALSE	3080	3945	3117
DLD_Dld	4	0.174	0.174	0	0	3	7	7	0.307878826086957	0.588235294117647	-0.588235294117647	2	2	0.0850872482074398	0.181818181818182	FALSE	4154	2927	3118
G2E3_G2e3	5	0.238	0.217	2	2	1	4	8	0.317657904761905	0.666666666666667	0.666666666666667	4	1	0.0521833753365208	0	FALSE	10160	1197	3119
