Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
PACSIN2_Pacsin2	24	0.273	0.273	0	13	2	17	38	0.236749585227273	0.728571428571429	0.728571428571429	19	5	0.0728936617433261	0.212121212121212	FALSE	4884	24	88
SLC16A14_Slc16a14	24	0.276	0.273	1	2	13	37	17	0.448038183908046	0.72463768115942	0.72463768115942	16	8	0.0648709094460076	0.212121212121212	FALSE	7821	15	89
IGF1R_Igf1r	23	0.271	0.261	3	12	3	7	45	0.217175203529412	0.850746268656716	0.850746268656716	17	6	0.0820642155642908	0.363636363636364	FALSE	2613	45	90
CACNA1G_Cacna1g	23	0.277	0.261	5	4	11	39	11	0.464037554216867	0.769230769230769	0.769230769230769	19	4	0.0762312074931544	0.212121212121212	FALSE	3924	30	91
CDH18_Cdh18	22	0.275	0.25	8	11	4	19	30	0.4485183375	0.640625	0.640625	15	7	0.082229013895294	0.151515151515152	FALSE	2584	46	92
PLXNA2_Plxna2	23	0.271	0.261	3	3	12	42	10	0.327128070588235	0.805970149253731	0.805970149253731	14	9	0.0791377321296738	0.212121212121212	FALSE	3243	37	93
OSBPL3_Osbpl3	24	0.273	0.273	0	12	3	15	40	0.291532488636364	0.742857142857143	0.742857142857143	19	5	0.0706893555887622	0.242424242424242	FALSE	5631	22	94
DAPK1_Dapk1	18	0.205	0.205	0	14	1	19	36	0.280326068181818	0.714285714285714	0.714285714285714	10	8	0.10015792169932	0.363636363636364	FALSE	602	207	95
SLC25A13_Slc25a13	16	0.182	0.182	0	11	4	17	38	0.329377284090909	0.7	0.7	10	6	0.108030311840136	0.272727272727273	FALSE	305	411	96
NTNG1_Ntng1	14	0.182	0.159	11	10	2	17	33	0.408421688311688	0.693548387096774	0.693548387096774	13	1	0.114902317102273	0.333333333333333	FALSE	158	827	97
CNTN4_Cntn4	21	0.273	0.239	11	10	5	11	35	0.582896532467532	0.737704918032787	0.737704918032787	13	8	0.0840027501730607	0.242424242424242	FALSE	2273	58	98
PPP1R14C_Ppp1r14c	14	0.179	0.159	10	8	6	30	17	0.414939679487179	0.622950819672131	-0.622950819672131	7	7	0.114838913305554	0.333333333333333	FALSE	160	825	99
PEG10_Peg10	20	0.238	0.227	4	10	5	18	33	0.420761035714286	0.651515151515151	0.651515151515151	11	9	0.088406976954074	0.303030303030303	FALSE	1615	82	100
PDLIM5_Pdlim5	14	0.159	0.159	0	9	6	15	40	0.217240897727273	0.7	0.7	10	4	0.116344292718078	0.242424242424242	FALSE	132	1005	101
MYCL_Mycl	22	0.25	0.25	0	5	10	40	15	0.385211931818182	0.714285714285714	0.714285714285714	16	6	0.0813853992379284	0.333333333333333	FALSE	2768	48	102
WWOX_Wwox	9	0.106	0.102	3	7	8	21	31	0.182826717647059	0.582089552238806	-0.582089552238806	3	6	0.136975381338872	0.454545454545455	FALSE	28	4929	103
RBMS3_Rbms3	17	0.205	0.193	5	13	2	9	41	0.346860361445783	0.830769230769231	0.830769230769231	13	4	0.101752162078894	0.181818181818182	FALSE	508	272	104
UNCX_Uncx	6	0.098	0.068	27	5	6	16	20	0.431310491803279	0.553191489361702	-0.553191489361702	0	6	0.143202702532781	0.484848484848485	FALSE	16	8926	105
SMOC1_Smoc1	15	0.172	0.17	1	10	5	14	40	0.530449011494253	0.72463768115942	0.72463768115942	8	7	0.109573609076329	0.212121212121212	FALSE	265	544	106
ETS2_Ets2	16	0.184	0.182	1	10	5	15	39	0.182661218390805	0.710144927536232	0.710144927536232	10	6	0.108519681908834	0.333333333333333	FALSE	290	504	107
EPHA6_Epha6	13	0.159	0.148	6	9	6	23	27	0.454135414634146	0.553846153846154	0.553846153846154	6	7	0.117297207242325	0.333333333333333	FALSE	125	1183	108
GDF11_Gdf11	25	0.284	0.284	0	4	11	44	11	0.369734409090909	0.785714285714286	0.785714285714286	22	3	0.0453808345487719	0.212121212121212	FALSE	15075	10	109
EPB41L4B_Epb41l4b	21	0.247	0.239	3	13	2	13	39	0.353017282352941	0.776119402985075	0.776119402985075	16	5	0.0834693996733582	0.212121212121212	FALSE	2359	64	110
SHANK2_Shank2	19	0.25	0.216	12	6	8	31	14	0.342453434210526	0.661016949152542	0.661016949152542	12	7	0.091616184747728	0.212121212121212	FALSE	1234	127	111
SYNPR_Synpr	19	0.238	0.216	8	2	13	33	15	0.63481375	0.73015873015873	0.73015873015873	13	6	0.0893519007773708	0.272727272727273	FALSE	1517	107	112
FGFR2_Fgfr2	13	0.148	0.148	0	8	7	27	28	0.281599386363636	0.514285714285714	0.514285714285714	7	6	0.117305272596459	0.393939393939394	FALSE	124	1310	113
TMTC2_Tmtc2	15	0.17	0.17	0	12	3	16	39	0.299516221590909	0.728571428571429	0.728571428571429	11	4	0.109909814806052	0.242424242424242	FALSE	256	636	114
ZMAT4_Zmat4	22	0.259	0.25	3	13	2	15	38	0.387193517647059	0.75	0.75	15	7	0.0778778541043329	0.181818181818182	FALSE	3531	47	115
RASSF8_Rassf8	18	0.205	0.205	0	11	4	14	41	0.268010829545455	0.742857142857143	0.742857142857143	15	3	0.0967304792373555	0.242424242424242	FALSE	795	211	116
PTBP3_Ptbp3	20	0.227	0.227	0	11	4	10	45	0.192719384090909	0.8	0.8	14	6	0.0882113338210887	0.272727272727273	FALSE	1640	103	117
TOX_Tox	19	0.232	0.216	6	11	1	12	42	0.373484121951219	0.803030303030303	0.803030303030303	17	2	0.0905274458760558	0.181818181818182	FALSE	1376	123	118
CBX8_Cbx8	13	0.155	0.148	4	6	9	18	33	0.18070175	0.636363636363636	-0.636363636363636	7	6	0.118136275361482	0.303030303030303	FALSE	115	1474	119
SFMBT2_Sfmbt2	17	0.205	0.193	5	7	8	32	18	0.362894709638554	0.615384615384615	0.615384615384615	10	7	0.0994402544807237	0.363636363636364	FALSE	642	267	120
